pathway_id	pathway_name	ko_ID	ko_name
9101	Carbohydrate_metabolism	50	ACO2
9101	Carbohydrate_metabolism	51179	HAO2
9101	Carbohydrate_metabolism	54363	HAO1
9101	Carbohydrate_metabolism	55902	ACSS2
9101	Carbohydrate_metabolism	6470	SHMT1
9101	Carbohydrate_metabolism	6472	SHMT2
9101	Carbohydrate_metabolism	81888	HYI
9101	Carbohydrate_metabolism	84532	ACSS1
9101	Carbohydrate_metabolism	84693	MCEE
9101	Carbohydrate_metabolism	847	CAT
9101	Carbohydrate_metabolism	9380	GRHPR
9101	Carbohydrate_metabolism	160287	LDHAL6A
9101	Carbohydrate_metabolism	1629	DBT
9101	Carbohydrate_metabolism	1738	DLD
9101	Carbohydrate_metabolism	1892	ECHS1
9101	Carbohydrate_metabolism	18	ABAT
9101	Carbohydrate_metabolism	1962	EHHADH
9101	Carbohydrate_metabolism	23417	MLYCD
9101	Carbohydrate_metabolism	26275	HIBCH
9101	Carbohydrate_metabolism	3030	HADHA
9101	Carbohydrate_metabolism	31	ACACA
9101	Carbohydrate_metabolism	32	ACACB
9101	Carbohydrate_metabolism	35	ACADS
9101	Carbohydrate_metabolism	3939	LDHA
9101	Carbohydrate_metabolism	3945	LDHB
9101	Carbohydrate_metabolism	3948	LDHC
9101	Carbohydrate_metabolism	4329	ALDH6A1
9101	Carbohydrate_metabolism	4594	MMUT
9101	Carbohydrate_metabolism	5095	PCCA
9101	Carbohydrate_metabolism	5096	PCCB
9101	Carbohydrate_metabolism	51	ACOX1
9101	Carbohydrate_metabolism	55862	ECHDC1
9101	Carbohydrate_metabolism	55902	ACSS2
9101	Carbohydrate_metabolism	593	BCKDHA
9101	Carbohydrate_metabolism	594	BCKDHB
9101	Carbohydrate_metabolism	79611	ACSS3
9101	Carbohydrate_metabolism	8310	ACOX3
9101	Carbohydrate_metabolism	84532	ACSS1
9101	Carbohydrate_metabolism	84693	MCEE
9101	Carbohydrate_metabolism	8801	SUCLG2
9101	Carbohydrate_metabolism	8802	SUCLG1
9101	Carbohydrate_metabolism	8803	SUCLA2
9101	Carbohydrate_metabolism	92483	LDHAL6B
9101	Carbohydrate_metabolism	116285	ACSM1
